WKT,id,nombre,tipo,etapa,etapa_obse,estado,subcategor,calle,altura,calle2,direccion_,barrio,comuna
"POINT (-58.3837041872688 -34.6333577179954)",1234,CESAC Nº 10,Hospitales y Centros de Salud,,Proyecto 125,Disponible,CeSAC,Av. Amancio Alcorta,1402,,"ALCORTA, AMANCIO AV. 1402",Barracas,Comuna 4
"POINT (-58.3660674201704 -34.6401424327896)",1233,CESAC Nº 9,Hospitales y Centros de Salud,,Proyecto 125,Disponible,CeSAC,IRALA,1254,,IRALA 1254,Boca,Comuna 4
"POINT (-58.3972922295765 -34.6561352592007)",1232,CESAC Nº 8,Hospitales y Centros de Salud,,Proyecto 125,Disponible,CeSAC,"CRUZ, OSVALDO",3485,,"CRUZ, OSVALDO 3485",Barracas,Comuna 4
"POINT (-58.491104487459 -34.6781848250694)",1231,CESAC Nº 7,Hospitales y Centros de Salud,,Proyecto 125,Disponible,CeSAC,MONTIEL,4002,,MONTIEL 4002,Villa Lugano,Comuna 8
"POINT (-58.4409479109958 -34.6667711112011)",1230,CESAC Nº 6,Hospitales y Centros de Salud,,Proyecto 125,Disponible,CeSAC,"ACOSTA, MARIANO",0,"RABANAL, FRANCISCO, INTENDENTE AV.","ACOSTA, MARIANO y RABANAL, FRANCISCO, INTENDENTE AV.",Villa Soldati,Comuna 8
"POINT (-58.4952684878643 -34.6705441659847)",1229,CESAC Nº 5,Hospitales y Centros de Salud,,Proyecto 125,Disponible,CeSAC,PIEDRA BUENA AV.,3140,,PIEDRA BUENA AV. 3140,Villa Lugano,Comuna 8
"POINT (-58.5063444616941 -34.6550483255204)",1228,CESAC Nº 4,Hospitales y Centros de Salud,,Proyecto 125,Disponible,CeSAC,"ALBERDI, JUAN BAUTISTA AV.",6300,,"ALBERDI, JUAN BAUTISTA AV. 6300",Mataderos,Comuna 9
"POINT (-58.4641470831964 -34.6845440291771)",1227,CESAC Nº 3,Hospitales y Centros de Salud,,Proyecto 125,Disponible,CeSAC,SOLDADO DE LA FRONTERA AV.,5144,,SOLDADO DE LA FRONTERA AV. 5144,Villa Lugano,Comuna 8
"POINT (-58.5093944366392 -34.5764380800728)",1226,CESAC Nº 2,Hospitales y Centros de Salud,,Proyecto 125,Disponible,CeSAC,TERRADA,5850,,TERRADA 5850,Villa Pueyrredon,Comuna 12
"POINT (-58.3892876434263 -34.6490190529913)",1225,CESAC Nº 1,Hospitales y Centros de Salud,,Proyecto 125,Disponible,CeSAC,VELEZ SARSFIELD AV.,1271,,VELEZ SARSFIELD AV. 1271,Barracas,Comuna 4
"POINT (-58.4214257036031 -34.6066149036341)",1223,CESAC Nº 38,Hospitales y Centros de Salud,,Proyecto 125,Disponible,CeSAC,MEDRANO AV.,350,,MEDRANO AV. 350,Almagro,Comuna 5
"POINT (-58.4821018798985 -34.643250461187)",1222,CESAC Nº 13,Hospitales y Centros de Salud,,Proyecto 125,Disponible,CeSAC,DIRECTORIO AV.,4210,,DIRECTORIO AV. 4210,Parque Avellaneda,Comuna 9
"POINT (-58.491802763223 -34.6219408053394)",1221,CESAC Nº 36,Hospitales y Centros de Salud,,Proyecto 125,Disponible,CeSAC,MERCEDES,1371,,MERCEDES 1371,Floresta,Comuna 10
"POINT (-58.3828095724783 -34.5814083653125)",1217,ParquesyPlazas_Barrio Mugica_Plaza Primavera,Parques y Plazas,,Proy. LTE Barrio Mugica,Disponible,Barrios Sociales,,0,,,,
"POINT (-58.3880052819133 -34.5786669948217)",1199,EspacioPúblico_Barrio Mugica_Cancha Comunicaciones,Espacio Público,,Proy. LTE Barrio Mugica,Disponible,Barrios Sociales,,0,,,,
"POINT (-58.3787671368584 -34.5857015209241)",1198,EspacioPúblico_Barrio Mugica_Cedel,Espacio Público,,Proy. LTE Barrio Mugica,Disponible,Barrios Sociales,,0,,,,
"POINT (-58.3837095069286 -34.580607147205)",1197,EspacioPúblico_Barrio Mugica_Cancha 7,Espacio Público,,Proy. LTE Barrio Mugica,Disponible,Barrios Sociales,,0,,,,
"POINT (-58.3851766497903 -34.5791617298999)",1196,EspacioPúblico_Barrio Mugica_Cancha 9,Espacio Público,,Proy. LTE Barrio Mugica,Disponible,Barrios Sociales,,0,,,,
"POINT (-58.3802466006935 -34.5831108750705)",1195,EspacioPúblico_Barrio Mugica_Cancha del Cartel,Espacio Público,,Proy. LTE Barrio Mugica,Disponible,Barrios Sociales,,0,,,,
"POINT (-58.3796458351096 -34.5844200478813)",1194,EspacioPúblico_Barrio Mugica_Galpón,Espacio Público,,Proy. LTE Barrio Mugica,Disponible,Barrios Sociales,,0,,,,
"POINT (-58.3813858845836 -34.5830575527138)",1193,EspacioPúblico_Barrio Mugica_Playón,Espacio Público,,Proy. LTE Barrio Mugica,Disponible,Barrios Sociales,,0,,,,
"POINT (-58.3764512803521 -34.5853889078365)",1192,EspacioPúblico_Barrio Mugica_Feria,Espacio Público,,Proy. LTE Barrio Mugica,Disponible,Barrios Sociales,,0,,,,
"POINT (-58.5112061467509 -34.5999075832572)",1190,Hospital Zubizarreta - Guardia,Hospitales y Centros de Salud,,Proy. Salas de Espera Hospitales,Disponible,Hospitales,Nueva York,3952,,NUEVA YORK 3952,Villa Devoto,Comuna 11
"POINT (-58.5112061467509 -34.5999075832572)",1189,Hospital Zubizarreta - CE,Hospitales y Centros de Salud,,Proy. Salas de Espera Hospitales,Disponible,Hospitales,Nueva York,3952,,NUEVA YORK 3952,Villa Devoto,Comuna 11
"POINT (-58.5075003264535 -34.6252307396971)",1188,Hospital V. Sarsfield - Guardia,Hospitales y Centros de Salud,,Proy. Salas de Espera Hospitales,Disponible,Hospitales,Pedro Calderón de la Barca,1550,,"CALDERON DE LA BARCA, PEDRO 1550",Monte Castro,Comuna 10
"POINT (-58.5075003264535 -34.6252307396971)",1187,Hospital V. Sarsfield - CE,Hospitales y Centros de Salud,,Proy. Salas de Espera Hospitales,Disponible,Hospitales,Pedro Calderón de la Barca,1550,,"CALDERON DE LA BARCA, PEDRO 1550",Monte Castro,Comuna 10
"POINT (-58.4708925513627 -34.5873101456198)",1186,Hospital Tornu - Guardia,Hospitales y Centros de Salud,,Proy. Salas de Espera Hospitales,Disponible,Hospitales,Combatientes de Malvinas,3002,,COMBATIENTES DE MALVINAS AV. 3002,Parque Chas,Comuna 15
"POINT (-58.4708925513627 -34.5873101456198)",1185,Hospital Tornu - CE,Hospitales y Centros de Salud,,Proy. Salas de Espera Hospitales,Disponible,Hospitales,Combatientes de Malvinas,3002,,COMBATIENTES DE MALVINAS AV. 3002,Parque Chas,Comuna 15
