object,long,lat,name,comune
retirement center,-58.364338,-34.628143,CATALINAS SUR,4
retirement center,-58.367924,-34.638922,PADRE FEDERICO GROTE,4
retirement center,-58.362621,-34.635026,CENTRO CULTURAL ACTUARTE,4
retirement center,-58.395782,-34.625061,PRIMAVERA,3
retirement center,-58.362059,-34.634602,ADULTOS MAYORES AVE FENIX,4
retirement center,,,LA NUEVA ESPERANZA DE LA BOCA,4
retirement center,-58.380182,-34.645275,LOS PEQUE�OS GRANDES,4
retirement center,-58.433070,-34.645313,EL REGRESO,7
retirement center,-58.361145,-34.634578,JUAN DE DIOS FILIBERTO,4
retirement center,-58.367988,-34.648843,HUGO DEL CARRIL,4
retirement center,-58.424894,-34.613621,ALMAGRO-BOEDO,5
retirement center,-58.400647,-34.621527,PUERTA ABIERTA A LA DIVERSIDAD,3
retirement center,-58.487831,-34.648036,AMANECER,9
retirement center,-58.419688,-34.609737,SIEMPRE PRIMAVERA- ASOCIACION CIVIL,5
retirement center,-58.419153,-34.623615,GRUPO PARA VIVIR MEJOR,5
retirement center,-58.419066,-34.604383,FLORECER DE ALMAGRO,5
retirement center,-58.426893,-34.620739,27 DE OCTUBRE,5
retirement center,-58.426678,-34.611198,DULCES ENCUENTROS,5
retirement center,-58.385944,-34.616493,LA CASA DE ANGELA,1
retirement center,-58.430405,-34.629634,DEL BICENTENARIO,7
retirement center,-58.414202,-34.617825,SAN CRISTOBAL,5
retirement center,-58.452559,-34.610938,MI ESPERANZA,6
retirement center,-58.457669,-34.623095,VERDE ESPERANZA,7
retirement center,-58.454479,-34.609947,NUESTRA SE�ORA DE LOS BUENOS AIRES,6
retirement center,-58.524803,-34.635700,VOLVER A VIVIR,9
retirement center,-58.457536,-34.623131,YO SOY LUZ,7
retirement center,-58.441038,-34.618807,DAR AMOR,6
retirement center,-58.442199,-34.619338,NUESTRO TIEMPO DE CABALLITO,6
retirement center,-58.453366,-34.636421,COMPARTIENDO ALEGRIAS,7
retirement center,-58.455797,-34.644311,ABUELOS PORTEÑOS,7
retirement center,-58.460524,-34.651552,PINTITAS,7
retirement center,-58.460561,-34.642959,REEMPEZAR,7
retirement center,,,VIRGEN DE URKUPIÑA,7
retirement center,-58.431837,-34.629664,AMIGOS DEL PARQUECITO,7
retirement center,-58.469591,-34.620505,LA FABRICA,7
retirement center,-58.466150,-34.633854,EL TIEMPO DE LOS SUEÑOS,7
retirement center,-58.460690,-34.620740,VOLVER A VIVIR DIAS FELICES,7
retirement center,-58.440809,-34.644127,LOS GALANCITOS,7
retirement center,-58.445075,-34.642089,MONSEÑOR VERNAZZA,7
retirement center,,,PRESIDENTE RIVADAVIA,7
retirement center,-58.440122,-34.643368,LA RAZON DE VIVIR,7
retirement center,-58.423936,-34.640336,EL SUR DE LOS ABUELITOS,4
retirement center,-58.464993,-34.634199,LOS AÑOS FELICES,7
retirement center,-58.466527,-34.630964,HORAS INOLVIDABLES,7
retirement center,-58.447063,-34.635102,CENTRO CULTURAL Y RECREATIVO PARA LA TERCERA EDAD,0
retirement center,-58.432283,-34.643527,VIVIR EN AMISTAD,7
retirement center,-58.453285,-34.636386,PASELO BIEN,7
retirement center,-58.432482,-34.638951,NUESTRA ESPERANZA,7
retirement center,-58.463224,-34.627355,PLAZA FLORES,7
retirement center,-58.453897,-34.635096,CELEBRAR LA VIDA,7
retirement center,-58.465375,-34.647303,MOMENTOS FELICES,9
retirement center,-58.464364,-34.643893,AMOR MAS AMOR,7
retirement center,-58.439641,-34.631344,CLUB DE LA TERCERA EDAD CASA FELIZ,7
retirement center,-58.437615,-34.637484,NUEVA ESPERANZA,7
retirement center,-58.454677,-34.639662,UN LUGAR DIFERENTE,7
retirement center,-58.455486,-34.641086,UN NUEVO HOGAR,7
retirement center,-58.435090,-34.636603,ENCUENTRO VECINAL SUR,7
retirement center,-58.468613,-34.641855,EL ESFUERZO DE LOS ABUELOS,7
retirement center,-58.466050,-34.640948,CRECER EN SOLIDARIDAD,7
retirement center,-58.436570,-34.631531,CLUB DE LA TERCERA EDAD SANTA ISABEL DE HUNGRIA,7
retirement center,-58.473949,-34.637492,AMOR Y VIDA,10
retirement center,-58.432919,-34.634935,EL ENCANTO POR LA VIDA,7
retirement center,-58.491816,-34.677758,LA LUZ DE EVA,8
retirement center,-58.476248,-34.678971,COMPARTIENDO SUE�OS,8
retirement center,,,LA NUEVA ESPERANZA,0
retirement center,-58.462716,-34.686015,EL PARAJE DE LA ALEGRIA,0
retirement center,-58.471087,-34.682146,CAÑADA DE GOMEZ,8
retirement center,-58.476219,-34.685586,NUESTRO RINCONCITO,8
retirement center,-58.463291,-34.687105,CENTRO SOCIAL Y CULTURAL COMPARTIR,8
retirement center,,,LUGANO CENTRAL,8
retirement center,-58.468236,-34.688053,RENACER 2001,9
retirement center,-58.471902,-34.685184,ASOCIACION DE JUB Y PENS DE VILLA LUGANO,9
retirement center,,,RENACIMIENTO,0
retirement center,-58.464408,-34.683087,CORAZONES AMIGOS,8
retirement center,,,CENTRO SOCIAL PARA LA TERCERA EDAD EVA PERON,8
retirement center,-58.492719,-34.679541,HIMNO A LA VIDA,8
retirement center,-58.473519,-34.690158,CENTRO SOCIAL Y CULTURAL DE LA TERCERA EDAD FLORECER,8
retirement center,-58.486455,-34.663377,GENTE COMO UNO,8
retirement center,-58.483696,-34.667497,PAMPERO,8
retirement center,-58.484975,-34.671169,RINCON FELIZ,8
retirement center,-58.469595,-34.692339,ARCO IRIS DE LUGANO CLUB SOCIAL Y DEPORTIVO 9 DE JULIO,8
retirement center,-58.459975,-34.685790,9 DE JULIO,8
retirement center,-58.484795,-34.670008,LUGANO EN MARCHA,8
retirement center,-58.480373,-34.671788,TIEMPO FELIZ,8
retirement center,-58.489823,-34.664646,AMIGOS Y ABUELOS DEL BARRIO,0
retirement center,-58.440714,-34.663961,QUINTA DEL MOLINO,8
retirement center,-58.468520,-34.657445,DE LA TERCERA EDAD Y ACTIVIDADES INTERMEDIAS JUAN JOSE NAGERA,9
retirement center,-58.478026,-34.666331,ALBARI�O,8
retirement center,-58.480050,-34.671389,LA LUZ DE SILVIA,8
retirement center,-58.465543,-34.682975,MI ESPERANZA,8
retirement center,-58.496746,-34.621864,DE LA TERCERA EDAD 8 DE OCTUBRE,10
retirement center,-58.475026,-34.664462,RUCA MALEM,8
retirement center,-58.485996,-34.647274,RAZONES PARA VIVIR,9
retirement center,-58.509715,-34.665561,MOMENTOS DE AMIGOS,9
retirement center,-58.509852,-34.665036,LOS ABUELOS DE MATADEROS,9
retirement center,-58.523544,-34.651486,LA ARMONIA,9
retirement center,-58.493842,-34.651660,SUE�OS DEL ALMA,9
retirement center,-58.517458,-34.652556,ARMANDO F. CANZZIANI ,9
retirement center,-58.529183,-34.647312,LINIERS SUR,9
retirement center,-58.472925,-34.651892,FLORENTINO AMEGHINO,9
retirement center,-58.524222,-34.641491,POR SIEMPRE JUNTOS,9
retirement center,-58.525691,-34.649658,DESHOJANDO MARGARITAS,9
retirement center,-58.503474,-34.647446,GANAS DE VIVIR,9
retirement center,-58.521403,-34.636559,LA PORTE�A,9
retirement center,-58.476921,-34.658358,ESTRELLA,9
retirement center,-58.491778,-34.646230,EL HORNERO,9
retirement center,-58.519620,-34.627428,DE VILLA REAL,10
retirement center,-58.509055,-34.619768,SAN PEDRO APOSTOL,0
retirement center,-58.511846,-34.625218,LOS GURISES,10
retirement center,-58.500433,-34.625123,MI CASITA,10
retirement center,-58.494680,-34.631633,7 DE JUNIO,10
retirement center,-58.514968,-34.617349,RINCON DE AMIGOS FRANCISCO MANRIQUE,11
retirement center,-58.509590,-34.623525,CERVANTES,10
retirement center,-58.509886,-34.659277,ANGELITA,9
retirement center,-58.500780,-34.638585,ALFONSINA STORNI,10
retirement center,-58.502270,-34.631574,ROSAS DE OTOÑO,10
retirement center,-58.494459,-34.638111,VILLA LURO CENTRAL,10
retirement center,-58.525116,-34.631342,AGRUPACION AFILIADOS A PAMI 2,10
retirement center,-58.509638,-34.629711,DR RAMON CARRILLO,10
retirement center,-58.495545,-34.622723,MORDISQUITO,10
retirement center,-58.527065,-34.620288,ASOC CIVIL RECREATIVO DE JUB Y PENS PLAZA VILLA REAL,10
retirement center,-58.528436,-34.630858,LOS AMIGOS DE VERSAILLES,10
retirement center,-58.496956,-34.642674,RINCON DE LA AMISTAD GRUPO HIV,10
retirement center,-58.496871,-34.624914,LA PRIMAVERA DE LA VIDA,10
retirement center,-58.494545,-34.639845,FELICIDAD,10
retirement center,-58.509200,-34.613648,PLENO VIVIR,11
retirement center,-58.479059,-34.635756,DE CIEGOS Y DISMINUIDOS VISUALES,10
retirement center,-58.524803,-34.635700,VOLVER A VIVIR,9
retirement center,-58.514365,-34.603063,ABUELOS UNIDOS,11
retirement center,-58.496746,-34.621864,8 DE OCTUBRE,10
retirement center,-58.509722,-34.631444,ABUELOS DE VILLA LURO,10
retirement center,-58.503173,-34.614858,LUCES DE BUENOS AIRES,10
retirement center,-58.493808,-34.624915,SUYAI,10
retirement center,-58.513943,-34.627200,LA MUCHACHADA DEL AYER,10
retirement center,,,PLAZA TERAN,10
retirement center,-58.497516,-34.636200,DE VILLA LURO LA AMISTAD,10
retirement center,-58.494422,-34.581582,ARGENTINA NUESTRO HOGAR,12
retirement center,-58.512129,-34.617494,DOÑA FILOMENA,10
retirement center,-58.521478,-34.610241,AMOR Y PAZ,11
retirement center,-58.464833,-34.615372,ESENCIA DE VIDA,11
retirement center,-58.464889,-34.615299,14 DE MAYO DE 1989,11
retirement center,,,ASOC DE LA TERCERA EDAD SARMIENTO EL SAUCE,0
retirement center,-58.513339,-34.620965,RAMON CARRILLO DE VILLA DEVOTO,10
retirement center,-58.487759,-34.616142,HOMERO MANZI,11
retirement center,-58.475306,-34.605671,CARACAS,11
retirement center,-58.476747,-34.603960,ESQUINA DE ENCUENTRO,11
retirement center,-58.486261,-34.618439,VOLVER A EMPEZAR,11
retirement center,-58.459721,-34.603331,12 DE OCTUBRE,11
retirement center,-58.462106,-34.611259,PRONAPO,0
retirement center,-58.498881,-34.610530,EL ALBA,11
retirement center,-58.514365,-34.603063,SOLAMENTE AMIGOS,11
retirement center,,,CENTRO CULTURAL Y SOCIAL EVA DUARTE,11
retirement center,-58.508943,-34.585553,JUVENILLA,12
retirement center,-58.499126,-34.602540,LOS AUTENTICOS DE VILLA DEL PARQUE,11
retirement center,-58.492457,-34.611361,TITA MERELLO,11
retirement center,-58.491358,-34.602565,LA FLOR DEL PARQUE,11
retirement center,-58.510127,-34.613767,NUESTRO MUNDO FELIZ,11
retirement center,-58.498778,-34.606885,HUGO DEL CARRIL DE VILLA DEL PARQUE,11
retirement center,-58.510548,-34.614016,DEVOTO SUR,11
retirement center,-58.511817,-34.615239,DR RAMON CARRILLO 1� ASOCIACION CIVIL,11
retirement center,-58.521590,-34.608844,ABUELOS SIGLO XXI,11
retirement center,-58.483627,-34.612531,14 DE MAYO,11
retirement center,-58.489790,-34.597174,REJUVENECER EL ATARDECER,15
retirement center,-58.489790,-34.597174,SAGRADO CORAZON,15
retirement center,-58.497229,-34.610851,CARLOS CARELLA,11
retirement center,-58.503995,-34.613872,CAPICUA,10
retirement center,-58.468886,-34.602770,LA PATERNAL,11
retirement center,-58.507874,-34.576325,"CLUB DE LA TERCERA JUVENTUD-DELEGACION RINCON ARGENTINO ""LA CASA DE EVA PERON""",12
retirement center,-58.494826,-34.570200,LOS CAMINANTES,12
retirement center,-58.485679,-34.551488,CASA DEL JUBILADO,12
retirement center,-58.488569,-34.573217,DEL CARMEN DE URQUIZA TERCERA EDAD,12
retirement center,-58.501989,-34.573005,EL REENCUENTRO DE LOS AMIGOS,12
retirement center,-58.509761,-34.579865,LUNA BU,12
retirement center,-58.475699,-34.575355,SAAVEDRA-URQUIZA,12
retirement center,-58.492430,-34.551559,ARGENTINA EN MOVIMIENTO,12
retirement center,,,RECREATIVO SAAVEDRA,12
retirement center,-58.496230,-34.564146,EL FUTURO,12
retirement center,-58.483108,-34.569504,SIEMPRE JUNTOS DE VILLA URQUIZA,12
retirement center,-58.473265,-34.566898,JUNTOS,12
retirement center,-58.483396,-34.549324,CONVIVENCIA FELIZ,12
retirement center,-58.482998,-34.547467,ESTRELLAS DE SAAVEDRA,12
retirement center,-58.497990,-34.588896,AMISTAD Y LIBERTAD,12
retirement center,-58.493259,-34.567894,NUESTRA CASA,12
retirement center,-58.466632,-34.555341,2 DE ABRIL-MALVINAS ARGENTINAS,13
retirement center,-58.467446,-34.559117,DE ADULTOS MAYORES QUE SABEN VIVIR,13
retirement center,-58.458544,-34.573208,FORTALEZA,13
retirement center,-58.455304,-34.561952,GRUPO DE TERCERA EDAD ARDILLAS,13
retirement center,-58.422587,-34.592417,PARTICIPANDO,14
retirement center,-58.422855,-34.594510,ARMONIA DE LA PARROQUIA SANTA LUCIA DE PALERMO,14
retirement center,-58.424693,-34.584387,PARTICIPAR,14
retirement center,-58.443213,-34.585072,AMANECER DE PRIMAVERA,14
retirement center,-58.439986,-34.597596,VILLA CRESPO CENTRAL,15
retirement center,-58.479094,-34.587898,AMISTAD Y UNION,15
retirement center,-58.459885,-34.603450,AMIGOS POR EL TEJO,15
retirement center,-58.476851,-34.584908,AMIGOS DEL VILLA MODELO,15
retirement center,-58.478116,-34.585790,DE TERCERA EDAD LA ESPERANZA DE PARQUE CHAS,15
retirement center,-58.465326,-34.614535,AMIGOS DE VILLA MITRE,11
retirement center,-58.469623,-34.582130,A EMPEZAR,15
retirement center,-58.452683,-34.586465,JOVENES DEL TERCER MILENIO-ASOCIACION CIVIL,15
retirement center,-58.479161,-34.582158,EL LABERINTO DE PARQUE CHAS,15
retirement center,-58.445475,-34.589853,DR RENE G FAVALORO (EX BONPLAND),0
retirement center,-58.442962,-34.597825,22 DE AGOSTO,15
retirement center,-58.469627,-34.582402,ABUELOS DE VILLA ORTUZAR,15
retirement center,-58.471938,-34.580436,JUSTICIA SOCIAL,15
retirement center,-58.469075,-34.593296,LA ISLA DE LA PATERNAL,15
retirement center,-58.468379,-34.587906,EL FORTIN DE VILLA ORTUZAR,15
retirement center,-58.452148,-34.586156,CHACARITA COLEGIALES,15
retirement center,-58.476443,-34.586620,UNIDOS PARA SIEMPRE,15
retirement center,-58.467065,-34.601571,DE VIDA EN AMOR,15
retirement center,-58.458412,-34.595958,"TIERRA, TECHO Y TRABAJO",15
retirement center,-58.460566,-34.600636,CARLOS MORA,15
retirement center,-58.469067,-34.594546,LOS ABUELOS DEL CIRCULO DE LA PATERNAL,15
retirement center,-58.369571,-34.631600,AMISTAD Y ESPERANZA,4
retirement center,-58.365605,-34.643172,DO�A BETTY DE LA BOCA,4
retirement center,-58.469461,-34.676591,GRANDES ESPERANZAS,8
retirement center,-58.483746,-34.619634,Sueño Cumplido,11
retirement center,-58.468750,-34.633460,Floparch,7
retirement center,-58.509699,-34.577407,DR. RAUL MATERA,12
retirement center,-58.516677,-34.600287,VENGO A PROPONERLES UN SUEÑO,11
retirement center,-58.491214,-34.589682,TODOS UNIDOS,15
retirement center,-58.480797,-34.609597,NELLY OMAR,0
retirement center,-58.494416,-34.605683,CARLOS GARDEL 1º,11
retirement center,-58.423132,-34.614560,JOVENES CORAZONES,5
retirement center,-58.473381,-34.611388,VIDA,11
retirement center,-58.522955,-34.641509,EL CAMINO REAL DE LINIERS ,9
retirement center,-58.379080,-34.649324,21 DE DICIEMBRE,4
retirement center,-58.457016,-34.567769,MARIO GAGLIANO,0
retirement center,-58.491620,-34.619131,LA VIDA ES BELLA,10
retirement center,-58.479430,-34.582459,JUAN MANUEL DE ROSAS ,15
retirement center,-58.488156,-34.670733,GENERAL PUEYRREDON ,8
retirement center,-58.503560,-34.575980,AMIGOS DE LA PLAZA ALEM ,12
retirement center,-58.491120,-34.606392,ALEGRES MOMENTOS ,11
retirement center,-58.489790,-34.597174,SAGRADO CORAZON,15
retirement center,-58.517565,-34.652882,CUQUI ROBLES,9
retirement center,-58.474976,-34.678041,MILAGRO AL SUR,8
retirement center,-58.385995,-34.614767,ESPACIO PORTEÑO,1
retirement center,-58.404013,-34.656472,BARRIO ESPORA,4
retirement center,-58.389915,-34.622069,DR. RAMON CARRILLO,1
retirement center,-58.459523,-34.641364,DR. FAVALORO FLORES SUR,7
retirement center,-58.483682,-34.631760,LA TACITA,10
retirement center,-58.489921,-34.572153,CABOPE,12
retirement center,-58.516844,-34.633073,CENTRO DE JUBILADOS BARRIO KENNEDY,9
retirement center,-58.468258,-34.642247,ALEGRIA Y FELICIDAD,9
retirement center,-58.400284,-34.599662,CENTRO DE JUBILADOS Y PENSIONADOS SORDOMUDOS DE LA REPUBLICA ARGENTINA ,3
early childhood center,-58.43542068,-34.64228208,ABRAKADABRA,7
early childhood center,-58.44863168,-34.59535216,ALAS PARA VIVIR,15
early childhood center,-58.36961343,-34.63827507,ALICIA EN EL PAIS DE LAS MARAVILLAS,4
early childhood center,-58.35569633,-34.63602197,AMOR Y LUCHA,4
early childhood center,-58.39762757,-34.60596009,A�OS FELICES POR SIEMPRE,3
early childhood center,-58.45886073,-34.63163334,ARCO IRIS DE ILUSIONES,7
early childhood center,-58.44835879,-34.54851951,BROTECITOS,13
early childhood center,-58.37825903,-34.59631442,CAIPLI,1
early childhood center,-58.40710439,-34.64424499,CAIPLI SUR,4
early childhood center,-58.45658158,-34.68590749,CASITA AZUL Y BLANCA DE LOS DUENDES,8
early childhood center,-58.43896734,-34.66071921,CASITA SAN JOSE,8
early childhood center,-58.38380712,-34.62399822,CASITAS,1
early childhood center,-58.43643636,-34.66215926,CHONITO,8
early childhood center,-58.51115482,-34.6656104,CONEJO TRAVIESO,9
early childhood center,-58.45620315,-34.58259459,CRECER JUNTOS,15
early childhood center,-58.46866023,-34.62899922,DEJANDO HUELLA,7
early childhood center,-58.37196251,-34.62814355,DON GATO,4
early childhood center,-58.4941945,-34.66866567,DONDE BRILLA EL SOL,8
early childhood center,-58.39491324,-34.6579553,EL ALFARERO,4
early childhood center,-58.47922395,-34.67435806,EL REFUGIO DE LOS SUE�OS,8
early childhood center,-58.45182177,-34.65510774,EL SO�ADO,8
early childhood center,,,ESTRELLITA,
early childhood center,-58.45276506,-34.63768959,FLORECIENDO,7
early childhood center,-58.41152996,-34.61244942,FUNDAMIND,3
early childhood center,-58.4189928,-34.61341676,FUTUROS LIBRES,5
early childhood center,-58.49526614,-34.64921867,GESTITOS,9
early childhood center,-58.51401428,-34.65123227,GIRASOLES,9
early childhood center,-58.38960215,-34.61888039,GURISES,1
early childhood center,-58.44254726,-34.66311313,IRQICHAY,8
early childhood center,-58.39061483,-34.61896551,JUANCITOS,1
early childhood center,,,LA BUENA SEMILLA,
early childhood center,-58.43604674,-34.64845944,LA HORMIGUITA VIAJERA,7
early childhood center,-58.38862947,-34.65465871,LA LECHERITA DEL SUR,4
early childhood center,-58.51280367,-34.66549011,LA MONA JACINTA,9
early childhood center,-58.47531087,-34.65685909,LA REINA BATATA,9
early childhood center,-58.47354378,-34.6581768,LA TORTUGA MANUELITA,9
early childhood center,-58.41459329,-34.65460446,LAS CHICHARRITAS,4
early childhood center,-58.3833698,-34.61980218,LEANDRO N. ALEM,1
early childhood center,-58.4836993,-34.63071981,LEGION DE LA BUENA VOLUNTAD,10
early childhood center,-58.47484088,-34.60033139,LOS SUE�OS DE PATRICIA,15
early childhood center,-58.47507516,-34.6826329,LUNITA,8
early childhood center,-58.43098548,-34.65033464,MADRE DEL PUEBLO,7
early childhood center,-58.3996073,-34.62941652,MEDALLA MILAGROSA,4
early childhood center,-58.37583259,-34.61995823,MI CASITA,1
early childhood center,-58.45312227,-34.64445766,MI LUGAR EN EL SUR,7
early childhood center,-58.40803028,-34.60495283,MI SUE�O,3
early childhood center,-58.39448194,-34.61767316,MIS PRIMEROS A�OS,3
early childhood center,-58.44813097,-34.57579713,MIS PRIMEROS PASOS,13
early childhood center,-58.49056562,-34.64656547,MORRONCITOS,9
early childhood center,-58.45076102,-34.58227091,NINGUN LUGAR ESTA LEJOS,15
early childhood center,-58.4848023,-34.68488582,OSITOS CARI�OSOS,8
early childhood center,-58.4374243,-34.64734593,PAMPERITO,7
early childhood center,-58.35843327,-34.63200882,PEQUE�OS PASOS,4
early childhood center,,,PEQUEÑOS SUEÑOS,
early childhood center,-58.51620566,-34.63892486,PEQUITAS,9
early childhood center,-58.37331656,-34.64621174,PIDO GANCHO,4
early childhood center,-58.41290414,-34.6572182,PILARCITOS,4
early childhood center,-58.39894693,-34.65101826,PIM POM,4
early childhood center,-58.46829896,-34.63749716,PIMPOLLITOS DE VIDA,7
early childhood center,-58.46862962,-34.66586774,PROYECTO DE VIDA,8
early childhood center,-58.46544856,-34.67728444,PUENTECITO LATINOAMERICANO,8
early childhood center,-58.37617628,-34.65241626,PULGARCITO,4
early childhood center,-58.48733893,-34.65628129,RAICES DE AMOR,9
early childhood center,-58.47274336,-34.67930156,RAYITO DE ESPERANZA,8
early childhood center,-58.37042896,-34.64788168,RAYUELA,4
early childhood center,,,SAN CAYETANO,
