LAT,LNG,ID,NOMBRE,CALLE,ALTURA,PISO_DEPTO,DIRECCION_NORMALIZADA,BARRIO,COMUNA,CP,CPA,DIAS_Y_HORARIO,TELEFONOS,EMAIL,WEB,ACTIVIDAD,OTRAS_ACTIDADES,DEPENDENCIA,PUBLICO,SECTOR
-34.59147692,-58.37980286,397,AGALMA.ARTE,ARROYO,882,,ARROYO 882,RETIRO,COMUNA 01,1007,C1007AAB,LUNES A VIERNES DE 12:00 A 20:00,4328-7591,,WWW.AGALMAARTE.COM,GALERIA DE ARTE,,,GENERAL,PRIVADO
-34.59937639,-58.37821079,1150,AGAPE LIBROS,ESMERALDA,755,,ESMERALDA 755,SAN NICOLAS,COMUNA 01,1007,C1007ABG,,4328-4606,ESMERALDA@AGAPE-LIBROS.COM.AR,WWW.AGAPE-LIBROS.COM.AR,LIBRERIA,,,GENERAL,PRIVADO
-34.60212434,-58.3795156,1155,ALBERTO CASARES,SUIPACHA,521,,SUIPACHA 521,SAN NICOLAS,COMUNA 01,1008,C1008AAK,LUNES A VIERNES 10:00 A 14:00 Y DE 15:00 A 20:00 SABADO 10:00 A 14:00,4322-6198/0794,CASARESLIBROS@FIBERTEL.COM.AR,WWW.ACASARES.SERVISUR.COM,LIBRERIA,,,GENERAL,PRIVADO
-34.59831733,-58.37532533,1157,ALETHEIA,FLORIDA,835,,FLORIDA 835,RETIRO,COMUNA 01,1005,C1005AAQ,,4313-3481,ALETHEIALIBROS@HOTMAIL.COM,,LIBRERIA,,,GENERAL,PRIVADO
-34.5981565,-58.38577211,1008,ALFAOMEGA GRUPO EDITOR,PARAGUAY,1307,PB DPTO 11,PARAGUAY 1307,RETIRO,COMUNA 01,1057,C1057AAU,,448352 / 4811-7183 / 4811-0887,,WWW.ALFAOMEGA.COM.MX,EDITORIAL,,,,PRIVADO
-34.59907222,-58.38022917,685,ALIANZA FRANCESA DE BUENOS AIRES (SEDE CORDOBA),CORDOBA AV.,936,,CORDOBA AV. 936,SAN NICOLAS,COMUNA 01,1054,C1054AAV,,4322-0068,INFO@ALIANZAFRANCESA.ORG.AR,WWW.ALIANZAFRANCESA.ORG.AR,CENTRO CULTURAL,,,GENERAL,PRIVADO
-34.60245733,-58.39129315,1818,ALMAGESTO,RODRIGUEZ PEÑA,554,,RODRIGUEZ PEÑA 554,SAN NICOLAS,COMUNA 01,1020,C1020ADL,,4371-3523,INFO@ALMAGESTO.COM.AR,WWW.ALMAGESTO.COM.AR,LIBRERIA,,,GENERAL,PRIVADO
-34.61363555,-58.37150421,961,AM 750,REPUBLICA BOLIVARIANA DE VENEZUELA,370,PISO 2,REPUBLICA BOLIVARIANA DE VENEZUELA 370,MONSERRAT,COMUNA 01,1095,C1095AAH,,5354-6651,,WWW.RADIOAM750.COM.AR,RADIO LOCAL (AM Y FM),,,GENERAL,PRIVADO
-34.607122,-58.37536095,197,AMERICAN BAR,"SAENZ PEÑA, ROQUE, PRES. DIAGONAL NORTE AV.",632,,"SAENZ PEÑA, ROQUE, PRES. DIAGONAL NORTE AV. 632",SAN NICOLAS,COMUNA 01,1035,C1035AAO,,4331-4825,,,BAR NOTABLE,,,GENERAL,PRIVADO
-34.59807859,-58.38446785,955,AMORRORTU EDITORES,PARAGUAY,1225,PISO 7,PARAGUAY 1225,RETIRO,COMUNA 01,1057,C1057AAS,,4816-5812,,WWW.AMORRORTUEDITORES.COM,EDITORIAL,,,GENERAL,PRIVADO
-34.6010403,-58.38812352,273,ANDAMIO 90,PARANA,662,,PARANA 662,SAN NICOLAS,COMUNA 01,1017,C1017AAN,LUNES A VIERNES DE 15:00 A 22:00,4374-1484//4372-8386,INFO@ANDAMIO90.ORG,WWW.ANDAMIO90.ORG,"ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)",,,GENERAL,PRIVADO
-34.59668691,-58.37984738,1128,ANSWER JUST TIME S.R.L.,SUIPACHA,987,PISO 10 DPTO D,SUIPACHA 987,RETIRO,COMUNA 01,1008,C1008AAS,,4311-2427,INFO@ANSWERPUBLISHING.COM,WWW.ANSWERPUBLISHING.COM,EDITORIAL,,,,PRIVADO
-34.59808426,-58.37829518,1357,ANTICUARIA POEMA 20,ESMERALDA,869,,ESMERALDA 869,RETIRO,COMUNA 01,1007,C1007ABI,LUNES A VIERNES DE 10:00 A 20:00 SABADOS DE 10:00 A 13:30,4312-0199,POEMA20@FIBERTEL.COM.AR,,LIBRERIA,,,GENERAL,PRIVADO
-34.59756957,-58.38418825,822,ANTICUARIO LORD BYRON,LIBERTAD,948,LOCAL 16 A,LIBERTAD 948,RETIRO,COMUNA 01,1012,C1012AAT,,4811-0902,,WWW.RINCONDELACULTURA.COM,LIBRERIA,,,GENERAL,PRIVADO
-34.61669316,-58.38451844,1052,ANTIDOTO EDITORIAL,CHILE,1302,,CHILE 1302,MONSERRAT,COMUNA 01,1098,C1098ABB,,4381-2718,,,EDITORIAL,,,,PRIVADO
-34.60851114,-58.38297762,1168,ANTIGUA,RIVADAVIA AV.,1175,,RIVADAVIA AV. 1175,SAN NICOLAS,COMUNA 01,1033,C1033AAB,LUNES A VIERNES 13:30 A 20:30,4382-0314,,,LIBRERIA,,,GENERAL,PRIVADO
-34.60071776,-58.38879624,1169,APLICACION TRIBUTARIA S.A.,VIAMONTE,1550,,VIAMONTE 1550,SAN NICOLAS,COMUNA 01,1055,C1055ABD,,4374-5418,VENTAS@APLICACION.COM.AR,WWW.APLICACION.COM.AR,LIBRERIA,,,GENERAL,PRIVADO
-34.61448383,-58.37610163,389,APPETITE CONTEMPOPORARY ART,CHACABUCO,551,,CHACABUCO 551,MONSERRAT,COMUNA 01,1069,C1069AAK,LUNES A SABADO DE 14:00 A 19:00,4331-5405,NUEVOAPPETITE@GMAIL.COM,WWW.APETITE.COM.AR,GALERIA DE ARTE,,,GENERAL,PRIVADO
-34.59733121,-58.37695514,956,ARCA DIFUSION,MAIPU,916,PISO 3 DPTO B,MAIPU 916,RETIRO,COMUNA 01,1006,C1006ACN,,4313-4113,INFO@ARCADIFUSION.COM.AR,WWW.ARCADIFUSION.COM.AR,PRODUCTORA AUDIOVISUAL,,,ADULTOS,PRIVADO
-34.60478611,-58.37033339,586,ARCHIVO GENERAL DE LA NACION,"ALEM, LEANDRO N. AV.",246,PISO 3,"ALEM, LEANDRO N. AV. 246",SAN NICOLAS,COMUNA 01,1003,C1003AAP,LUNES A VIERNES DE 10:00 A 17:00,4334-0051 // 4331-5531,ARCHIVO@MININTERIOR.GOV.AR,WWW.MININTERIOR.GOV.AR,ARCHIVO,BIBLIOTECA ESPECIALIZADA ARCHIVO GENERAL DE LA NACION,MINISTERIO DEL INTERIOR.,GENERAL,ESTADO NACIONAL
-34.62051371,-58.36847137,585,ARCHIVO GENERAL DE LA NACION - ARCHIVO INTERMEDIO,PASEO COLON AV.,1093,,PASEO COLON AV. 1093,SAN TELMO,COMUNA 01,1063,C1063ACK,LUNES A VIERNES DE 10:00 A 17:00,"4339-0800, INTERNOS:1152/53/54",ARCHIVOINTERMEDIO@MININTERIOR.GOV.AR,WWW.MININTERIOR.GOV.AR,ARCHIVO,,MINISTERIO DEL INTERIOR.,GENERAL,ESTADO NACIONAL
-34.60927675,-58.3697039,582,ARCHIVO TECNICO DE LA SECRETARIA DE ENERGIA,PASEO COLON AV.,171,,PASEO COLON AV. 171,MONSERRAT,COMUNA 01,1063,C1063ACB,,4349-5000,ENERGIA@MIOPLAN.GOV.AR,WWW.ENERGIA.GOV.AR,BIBLIOTECA,,"SECRETARIA DE ENERGIA. MINISTERIO DE PLANIFICACION FEDERAL, INVERSION PUBLICA Y SERVICIOS.",GENERAL,ESTADO NACIONAL
-34.60434981,-58.37193114,473,"ARCHIVO Y MUSEO HISTORICOS DEL BANCO DE LA PROVINCIA DE BUENOS AIRES  ""DR. ARTURO JAURETCHE""",SARMIENTO,362,,SARMIENTO 362,SAN NICOLAS,COMUNA 01,1041,C1041AAH,LUNES A VIERNES DE 10:00 A 18:00,4331-1775 / 7943,,WWW.BAPRO.COM.AR/MUSEO/INDEX,MUSEO,ACTOS CULTURALES,BANCO PROVINCIA BUENOS AIRES.,GENERAL,ESTADO PROVINCIAL
-34.61459392,-58.3775448,604,AREA DE DOCUMENTACION Y ARCHIVOS CENTRO DE ESTUDIOS LEGALES Y SOCIALES,PIEDRAS,547,PISO 1,PIEDRAS 547,MONSERRAT,COMUNA 01,1070,C1070AAK,LUNES A VIERNES DE 9:00 A 19:00,4334-4200,CELS@CELS.ORG.AR,WWW.CELS.ORG.AR,ARCHIVO,BIBLIOTECA ESPECIALIZADA CENTRO DE ESTUDIOS LEGALES Y SOCIALES,,GENERAL,ONG
-34.61119372,-58.3871424,324,ARLEQUINO,"ALSINA, ADOLFO",1484,,"ALSINA, ADOLFO 1484",MONSERRAT,COMUNA 01,1088,C1088AAL,MIERCOLES A DOMINGOS DE 18:00 A 23:00,4382-7775,TEATRO-ARLEQUINO@YAHOO.COM.AR,,"ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)",,,GENERAL,PRIVADO
-34.62292372,-58.38149571,856,ARTEAR,LIMA,1261,,LIMA 1261,CONSTITUCION,COMUNA 01,1138,C1138ACA,,,PRENSA@ARTEAR.COM,WWW.ARTEAR.COM.AR,PRODUCTORA AUDIOVISUAL,,,ADULTOS,PRIVADO
-34.6271447,-58.38278757,636,ARTE CINEMA ESPACIO INCAA KM3,SALTA,1620,,SALTA 1620,CONSTITUCION,COMUNA 01,1137,C1137ACJ,MIERCOLES A LUNES DE 14:00 A 22:00,4304-8302,,WWW.ARTECINEMA.COM.AR,CINE,,INSTITUTO NACIONAL DE ARTES AUDIOVISUALES.,GENERAL,ESTADO NACIONAL
-34.61053825,-58.36625931,993,ARTNOVELA EDICIONES,"MOREAU DE JUSTO, ALICIA AV.",1120,PISO 3 DPTO 306A,"MOREAU DE JUSTO, ALICIA AV. 1120",PUERTO MADERO,COMUNA 01,1107,C1107AAX,,4988-1155,CONSULTAS@ARTNOVELA.COM.AR,WWW.ARTNOVELA.COM.AR,EDITORIAL,,,,
-34.60245573,-58.39240928,726,ASAMBLEA PERMANENTE POR LOS DERECHOS HUMANOS,CALLAO AV.,569,PISO 1 3ER. CUERPO,CALLAO AV. 569,SAN NICOLAS,COMUNA 01,1022,C1022AAF,,4372 8594//4373 6073,APAH@APAH-ARGENTINA.ORG.AR,,ARCHIVO,,,GENERAL,
-34.6147192,-58.38799983,2072,ASOCIACION CENTRO BETANZOS,REPUBLICA BOLIVARIANA DE VENEZUELA,1534,,REPUBLICA BOLIVARIANA DE VENEZUELA 1534,MONSERRAT,COMUNA 01,1095,C1095ABF,,4381-1741,,,CENTRO CULTURAL,,,GENERAL,ASOCIACION CIVIL
-34.60188292,-58.39018576,686,ASOCIACION DANTE ALIGHIERI DE BUENOS AIRES (SEDE TUCUMAN),TUCUMAN,1646,,TUCUMAN 1646,SAN NICOLAS,COMUNA 01,1050,C1050AAH,,4371-2480,SECRETARIA@DANTE.EDU.AR,WWW.DANTE.EDU.AR,CENTRO CULTURAL,,,GENERAL,PRIVADO
-34.60643359,-58.38582234,2074,ASOCIACION ITALIANA DE MUTUALIDAD E INSTRUCCION UNIONE E BENEVOLENZA,"PERON, JUAN DOMINGO, TTE. GENERAL",1362,,"PERON, JUAN DOMINGO, TTE. GENERAL 1362",SAN NICOLAS,COMUNA 01,1038,C1038ABB,,4372-3025,AIMI@SPEEDY.COM.AR,WWW.UNIONEEBENEVOLENZA.COM.AR,ESPACIO DE FORMACION (SEMINARIOS Y TALLERES),,,GENERAL,ASOCIACION CIVIL
-34.6022467,-58.37386383,1433,ASOCIACION PROFESIONALES DE MEDIOS,SAN MARTIN,491,PISO 1,SAN MARTIN 491,SAN NICOLAS,COMUNA 01,1004,C1004AAI,LUNES A VIERNES DE 9 A 20,4393-0237 / 4741,CURSOS@APM-ONLINE.COM.AR,WWW.APMONLINE.COM.AR,ESPACIO DE FORMACION (SEMINARIOS Y TALLERES),,,GENERAL,PRIVADO
-34.6011237,-58.37718213,1032,ASTERISCO,TUCUMAN,731,,TUCUMAN 731,SAN NICOLAS,COMUNA 01,1049,C1049AAO,,5217-9915,INFO@ASTERISCO.COM.AR,WWW.ASTERISCO.COM.AR,SELLO DISCOGRAFICO,,,GENERAL,PRIVADO
-34.60276009,-58.38404373,971,ASTREA EDITORIAL,LAVALLE,1208,,LAVALLE 1208,SAN NICOLAS,COMUNA 01,1048,C1048AAF,LUNES A VIERNES DE 9:00 A 19:00,4382-1880,INFO@ASTREA.COM.AR,WWW.ASTREA.COM.AR,EDITORIAL,,,GENERAL,PRIVADO
-34.60352393,-58.37727902,278,ASTROS,CORRIENTES AV.,746,,CORRIENTES AV. 746,SAN NICOLAS,COMUNA 01,1043,C1043AAU,LUNES A DOMINGOS DE 10:00 A 22:00,4552-9991,,WWW.TEATROASTROS.COM.AR,"ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)",,,GENERAL,PRIVADO
-34.60684647,-58.38538997,1174,ASUNTO IMPRESO,"RIVAROLA, RODOLFO, DR.",153,,"RIVAROLA, RODOLFO, DR. 153",SAN NICOLAS,COMUNA 01,1015,C1015AAA,,4383-6262,,WWW.ASUNTOIMPRESO.COM,LIBRERIA,,,GENERAL,PRIVADO
-34.60735636,-58.38535835,1140,ASUNTO IMPRESO EDICIONES,"RIVAROLA, RODOLFO, DR.",115,,"RIVAROLA, RODOLFO, DR. 115",SAN NICOLAS,COMUNA 01,1015,C1015AAA,,4383-6262,EDICIONES@ASUNTOIMPRESO.COM,WWW.ASUNTOIMPRESO.COM,EDITORIAL,,,GENERAL,PRIVADO
-34.62035038,-58.37419339,1175,ASUNTO IMPRESO. SUCURSAL PERU.,PERU,1064,,PERU 1064,SAN TELMO,COMUNA 01,1068,C1068AAL,,4361-8210,,WWW.ASUNTOIMPRESO.COM,LIBRERIA,,,GENERAL,PRIVADO
-34.58810114,-58.38340148,675,ATLAS PATIO BULLRICH,DEL LIBERTADOR AV.,750,,DEL LIBERTADOR AV. 750,RETIRO,COMUNA 01,1001,C1001ABU,LUNES A DOMINGOS DE 12:20 A 22:40,4814-7447,,WWW.ATLASCINES.COM.AR,CINE,,,GENERAL,PRIVADO
-34.5928569,-58.385487,1240,AUDITORIO DE LA FUNDACION BEETHOVEN,JUNCAL,1264,PISO 3,JUNCAL 1264,RETIRO,COMUNA 01,1062,C1062ABN,,4811-3971 // 4812-4319,COMUNICACION@FUNDACIONBEETHOVEN.COM.AR,WWW.FUNDACIONBEETHOVEN.COM.AR,"ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)",,,GENERAL,PRIVADO
-34.6041613,-58.38865419,1231,AUDITORIO LOSADA,CORRIENTES AV.,1551,,CORRIENTES AV. 1551,SAN NICOLAS,COMUNA 01,1042,C1042AAB,,4371-9098,AUDITORIOLOSADA@HOTMAIL.COM,WWW.FACEBOOK.COM/AUDITORIOLOSADA,"ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)",,,GENERAL,PRIVADO
-34.60653983,-58.38076386,1033,AVA RECORDS,"PELLEGRINI, CARLOS",155,PISO 1,"PELLEGRINI, CARLOS 155",SAN NICOLAS,COMUNA 01,1009,C1009ABC,,4326-2031,INFO@AVAREVORDS.COM.AR,WWW.AVARECORDS.COM.AR,SELLO DISCOGRAFICO,,,GENERAL,PRIVADO
-34.60433898,-58.3898641,240,BAJO CORRIENTES,CORRIENTES AV.,1632,,CORRIENTES AV. 1632,SAN NICOLAS,COMUNA 01,1042,C1042AAP,,4377-8819,,,"ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)",,,GENERAL,PRIVADO
-34.61064755,-58.37975282,977,BALLETIN DANCE,"ALSINA, ADOLFO",943,PISO 4 DPTO 410,"ALSINA, ADOLFO 943",MONSERRAT,COMUNA 01,1088,C1088AAA,LUNES A VIERNES DE 10:00 A 17:00,4331-0400,INFO@BALLETINDANCE.COM.AR,WWW.BALLETINDANCE.COM.AR,EDITORIAL,,,GENERAL,PRIVADO
-34.60502349,-58.37238758,1570,"BANCO CENTRAL DE LA REPUBLICA ARGENTINA - BIBLIOTECA ""RAUL PRESBICH""",RECONQUISTA,250,PISO 1,RECONQUISTA 250,SAN NICOLAS,COMUNA 01,1003,C1003ABF,LUNES A VIERNES DE 10:00 A 15:00,4348-3772 / 4348-3771,BIBLIO@BCRA.GOV.AR,WWW.BCRA.GOV.AR,BIBLIOTECA,,BANCO CENTRAL DE LA REPUBLICA ARGENTINA,GENERAL,ESTADO NACIONAL
-34.59788884,-58.37319366,194,BARBARO - BAR O BAR,TRES SARGENTOS,415,,TRES SARGENTOS 415,RETIRO,COMUNA 01,1054,C1054ABC,LUNES A JUEVES DE 8:00 A 1:00 VIERNES Y SABADOS DE 8:00 A 3:00,4311-6856,INFO@BAROBAR.COM.AR,HTTP://BARBAROBAR.COM.AR,BAR CULTURAL,,,GENERAL,PRIVADO
-34.62530893,-58.37083484,187,BAR BRITANICO,BRASIL AV.,399,,BRASIL AV. 399,SAN TELMO,COMUNA 01,1154,C1154AAC,,4361-7902 // 4361-2107,,WWW.BARBRITANICO.COM.AR,BAR NOTABLE,,,GENERAL,PRIVADO
-34.6194589,-58.37131154,190,BAR EL FEDERAL,"CALVO, CARLOS",395,,"CALVO, CARLOS 395",SAN TELMO,COMUNA 01,1102,C1102AAG,,4300-4313,,WWW.BARELFEDERAL.COM.AR,BAR NOTABLE,,,GENERAL,PRIVADO
-34.6092602,-58.3832978,2140,BAR IBERIA,DE MAYO AV.,1196,,DE MAYO AV. 1196,MONSERRAT,COMUNA 01,1085,C1085ABO,,,,,BAR IDENTIFICADO,,,,
-34.60851023,-58.37473569,2143,BAR LONDON CITY,DE MAYO AV.,599,,DE MAYO AV. 599,MONSERRAT,COMUNA 01,1084,C1084AAA,,,,,BAR IDENTIFICADO,,,,
-34.62055305,-58.37139071,193,BAR PLAZA DORREGO,DEFENSA,1096,,DEFENSA 1096,SAN TELMO,COMUNA 01,1065,C1065AAT,,4361-8141 // 4361-0141,CYUTERA@HOTMAIL.COM,,BAR NOTABLE,,,GENERAL,PRIVADO
-34.60116429,-58.38539574,1711,BARRY EDITORIAL,TALCAHUANO,638,PB DPTO H,TALCAHUANO 638,SAN NICOLAS,COMUNA 01,1013,C1013AAN,,4371-1313 // 4383-0745,CONTACTO@BARRYEDITORIAL.COM.AR,WWW.BARRYEDITORIAL.COM.AR,EDITORIAL,,,GENERAL,PRIVADO
-34.61591838,-58.37175534,188,BAR SEDDON,DEFENSA,695,,DEFENSA 695,MONSERRAT,COMUNA 01,1065,C1065AAK,,4342-3700,,,BAR NOTABLE,,,GENERAL,PRIVADO
-34.61839072,-58.37002532,178,BAR SUR,ESTADOS UNIDOS,299,,ESTADOS UNIDOS 299,SAN TELMO,COMUNA 01,1101,C1101AAE,,4362-6086,INFO@BAR-SUR.COM.AR,WWW.BAR-SUR.COM.AR,BAR NOTABLE,,,GENERAL,PRIVADO
-34.60771898,-58.38832417,629,BARTOLOMEO,"MITRE, BARTOLOME",1525,,"MITRE, BARTOLOME 1525",SAN NICOLAS,COMUNA 01,1037,C1037ABC,MARTES A VIERNES DE 10:00 A 20:00,4372-2843,,,"ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)",,,GENERAL,PRIVADO
-34.6043295,-58.38974654,320,BELISARIO CLUB DE CULTURA,CORRIENTES AV.,1624,,CORRIENTES AV. 1624,SAN NICOLAS,COMUNA 01,1042,C1042AAP,LUNES A VIERNES DE 10:00 A 21:00 SABADOS Y DOMINGOS DE 17:00 A 22:00,4373-3465,BELISARIOTEATRO@HOTMAIL.COM,WWW.FACEBOOK.COM/BELISARIOCLUB,"ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)",,,GENERAL,PRIVADO
-34.60560716,-58.38929482,1828,BERNIE,MONTEVIDEO,295,,MONTEVIDEO 295,SAN NICOLAS,COMUNA 01,1019,C1019ABE,,5811-4432,,,LIBRERIA,,,JOVENES,PRIVADO
-34.61369926,-58.38865008,1587,BIBLIOTECA AIDIS ASOCIACION INTERAMERICANA DE INGENIERIA SANITARIA Y CIENCIAS DEL AMBIENTE,BELGRANO AV.,1580,PISO 3,BELGRANO AV. 1580,MONSERRAT,COMUNA 01,1093,C1093AAQ,LUNES A VIERNES DE 12:30 A 18:30,4381-5832,BIBLIOTECA@AIDISAR.ORG,WWW.AIDISAR.ORG,BIBLIOTECA,,,GENERAL,ONG
-34.61472016,-58.3881375,4,BIBLIOTECA ALFONSINA STORNI,REPUBLICA BOLIVARIANA DE VENEZUELA,1538,PISO 1,REPUBLICA BOLIVARIANA DE VENEZUELA 1538,MONSERRAT,COMUNA 01,1095,C1095ABF,LUNES A VIERNES DE 9:00 A 19:00,4381-9345,BIBLIOTECA_STORNI@BUENOSAIRES.GOB.AR,HTTP://WWW.BUENOSAIRES.GOV.AR/AREAS/CULTURA/DG_LIBRO,BIBLIOTECA,,"MINISTERIO DE CULTURA - DIRECCION GENERAL DEL LIBRO, BIBLIOTECAS Y PROMOCION DE LA LECTURA",GENERAL,ESTADO MUNICIPAL
-34.59702438,-58.3858518,561,"BIBLIOTECA ALVEAR ""R.P. ERNESTO DANN OBREGON S.J"" UNIVERSIDAD DEL SALVADOR","ALVEAR, MARCELO T. DE",1312,PISO 2,"ALVEAR, MARCELO T. DE 1312",RETIRO,COMUNA 01,1058,C1058AAV,LUNES A VIERNES DE 09:00 A 20:30,"4813-3400, INTERNO: 5",USD-BIB2@SALVADOR.EDU.AR,WWW.SALVADOR.EDU.AR/VRID/BIBLIOTECA/INDEX.HTM,BIBLIOTECA,,,GENERAL,PRIVADO
-34.59364013,-58.38291588,512,BIBLIOTECA ANTARTIDA,CERRITO,1248,PB,CERRITO 1248,RETIRO,COMUNA 01,1010,C1010AAZ,LUNES A VIERNES DE 10:00 A 13:00 Y DE 13:30 A 16:00,4812-0071/72,,WWW.DNA.GOV.AR,BIBLIOTECA,,INSTITUTO ANTARTICO ARGENTINO. MINISTERIO DE RELACIONES EXTERIORES Y CULTO.,GENERAL,ESTADO NACIONAL
-34.60982483,-58.38388105,524,BIBLIOTECA AUDITORIA GENERAL DE LA NACION,"YRIGOYEN, HIPOLITO",1236,PISO 2,"YRIGOYEN, HIPOLITO 1236",MONSERRAT,COMUNA 01,1086,C1086AAV,LUNES A VIERNES DE 09:30 A 17:30,4124-3759,,WWW.AGN.GOV.AR,BIBLIOTECA,,AUDITORIA GENERAL DE LA NACION.,GENERAL,ESTADO NACIONAL
-34.60000624,-58.37084325,518,"BIBLIOTECA ""BIALET MASSE""","ALEM, LEANDRO N. AV.",650,PB,"ALEM, LEANDRO N. AV. 650",SAN NICOLAS,COMUNA 01,1001,C1001AAO,LUNES A VIERNES DE 09:00 A 17:00,4310-6073,,WWW.TRABAJO.GOV.AR,BIBLIOTECA,,"MINISTERIO DE TRABAJO, EMPLEO Y SEGURIDAD SOCIAL.",GENERAL,ESTADO NACIONAL
-34.62396997,-58.36733921,570,BIBLIOTECA CENTRAL DE LA UNIVERSIDAD AUSTRAL,"GARAY, JUAN DE AV.",125,,"GARAY, JUAN DE AV. 125",SAN TELMO,COMUNA 01,1063,C1063ABB,LUNES A VIERNES DE 08:00 A 20:00,"5921-8000, INTERNO: 8617",,WWW.AUSTRAL.EDU.AR/AUSTRAL-UNIVERSIDAD-BIBLIOTECACENTRAL.ASP,BIBLIOTECA,,,GENERAL,PRIVADO
-34.61067597,-58.36982401,603,BIBLIOTECA CENTRAL DEL ESTADO MAYOR CONJUNTO DE LAS FUERZAS ARMADAS,PASEO COLON AV.,255,PISO 1,PASEO COLON AV. 255,MONSERRAT,COMUNA 01,1063,C1063ACC,LUNES A DOMINGOS DE 10:00 A 17:00,4339-0294 // 4343-1561 AL 69,,WWW.VICYT.CAICYT.GOV.AR,BIBLIOTECA,,MINISTERIO DE DEFENSA.,GENERAL,ESTADO NACIONAL
