id,Barrio,Text,Notes,Football Team
10,PARQUE AVELLANEDA,"Parque Avellaneda is a quiet neighborhood which the dizzying pace of the big city. Buildings from the beginning of the 20th century stand next to modern skyscrapers. There are many green spaces where the tranquil characteristics can be felt. Some of its streets are wide, tree-lined, with little traffic and thus nearly silent, but the Perito Moreno highway does divide the neighborhood into two areas.",,
11,CABALLITO,"You’ll see a quite neighborhood (except for when families pick up or drop off kids at school), where some good old cafes managed to survive next to new cuisines and the Starbucks of the world. You will also find young people in the area, expats and locals, partly because of “Filo” (or “Puan”), one of the University of Buenos Aires buildings. For those who plan to stay a long time in Buenos Aires, the primary attraction of Caballito is that it’s a whole lot cheaper than places like Palermo, very comfortable, has some character, and yet isn’t too far from the action. It’s great value for money.",,
12,ALMAGRO,Almagro is between Avenidas Indepencia and Cordoba and dissected by Avenida Rivadavia – one of the city’s main thoroughfares – and has an active commercial district as well as a high population density.,Middle class,
13,POMPEYA,"Nueva Pompeya has long been one of the city's working class districts. Nueva Pompeya has also been known for its rich tradition of tango and is where many of the first tangos were written and performed. A neighborhood local, the legendary tango composer Homero Manzi, set a very popular tango in Nueva Pompeya, describing a melancholy landscape which, even today, defines many of the district's characteristics.",,
14,VILLA URQUIZA, Villa Urquiza occupies a quieter zone of Buenos Aires with a blend of town houses and modern apartment blocks. If you pass by at the weekend you might just spot locals sweeping the leaves outside their homes and sharing a mate whilst chatting to their neighbors.,,
15,SAAVEDRA,"Being predominately a residential barrio, Saavedra offers a pleasant respite from Microcentro and the popular tourist barrios. Moreover, in Parque Sarmiento it has one of the largest recreational venues in the city.",,
16,VILLA PUEYRREDON,"Villa Pueyrredón is a middle class residential neighborhood surrounded by many squares and parks. The population in this nieghbourhood was established principally by Italian, Spanish, and Lebanese settles who arrived in the late 19th and early 20th centuries to work on the railways. The large number and variety of small businesses established by these communities gave the neighborhood a very particular and ethnically diverse character.",,
17,VILLA LURO,"Villa Luro is characterized as middle class and is predominantly residential. Villa Luro is known as 'the neighborhood of romantic streets' as many of the street names come from poets such as Byron, Lope de Vega, Homero and Leopardi, among others.",,
18,MATADEROS,"There is no better example of working country life within the city confines than Mataderos and when visiting the barrio you will be rewarded with a wonderful insight into how different the city is from the bustle of El Centro and the heavily touristic barrios of Palermo and San Telmo. Great for a visit and to enjoy the spirit of the weekend market, as Mataderos is a solid one-hour bus ride from the main action of the city it is unlikely that you would want to live here for the long-term.",,
19,FLORES,"As it started life as a town in its own right, Flores, with its residential areas, commercial shopping district, nightlife and football club, has just about everything you can ask for and you’ll probably be able to find far cheaper rents than in the barrios further north. The A line of the Subte also stops in the barrio and provides fast access direct to Plaza de Mayo. Close to a slum.",,
20,VERSAILLES,"Versailles has a neighborhood with characteristics of English architecture, due to the large number of immigrants who settled in the neighborhood to work on the railroad. Versalles also is considered one of the least densely populated, greenest, and quietest wards in Buenos Aires. Many of its street names recall the Caldén, Aguaribay (Schinus), and Caranday trees that adorn its parks and sidewalks.",,
21,LINIERS,"Liniers is an important commercial center with hundreds of stores and restaurants. Liniers is also home to a large Bolivian community. The Mercado Andino is a daily market that predominantly sells Bolivian specialties.",,
22,VELEZ SARFIELD,"Velez Sarfield is currently a middle-class neighborhood, among whose largely low-rise housing there are some small factories and warehouses. These low-rise houses were, thanks to their low price and to the loans of the Mortgage Bank, the realization of the dream of the own house for many families; even today you can find many houses, as they were built, in perfect condition and many others that have been refurbished into beautiful villas.",,
23,VILLA DEVOTO,"It is also the home of the infamously overcrowded Devoto Prison, the only working prison within the boundaries of Buenos Aires City and in 1978 the scene of the worst prison riot in Argentine history.",,
24,BOCA,"Boca was first the center for immigrants, but now it has made a name for itself with colorful buildings highlighted by tango singers and dancers that flock its vibrant streets. rough, working class and downbeat neighborhood, despites the hordes of tourists who descend upon its attractions every weekend and most weekdays too.",,
25,AGRONOMIA,"For those that have a desire to visit a sleepy neighborhood then Agronomía is far removed from commercialism of the ‘cooler’ Buenos Aires barrios. Resembling a spider’s web, there are three-to-four circling streets complete with crisscrossing counterparts which, for the geographically-challenged, can make getting confused a simple thing. Moreover, the circling streets and those leading off them are curiously named after major European cities; Constantinople, La Haya (The Hague) and Sofia, amongst others.",,
26,CHACARITA,"Being just outside of the common Buenos Aires tourist trail, a big plus of staying in Chacarita is its affordability. With the Urquiza and San Martin train lines, and B line of the Subte all running to/from Estacion Federico Lacroze, the barrio is also well connected to the city center and northern suburbs.",,
27,PATERNAL,"La Paternal is predominantly a residential neighborhood, with its shopping centers concentrated on the main street. For residents, La Paternal is considered to exend a few blocks beyond its official borders. For example, the guitarrist, Norberto Pappo Napolitano, was officially a resident of Villa General Mitre but was called el Carpo de La Paternal.",,
28,COLEGIALES,"Colegiales maintains a strong residential feel that is characterized by its sleepy cobblestoned avenues lined with overhanging trees. That said, due to its close proximity to Palermo, the neighborhood is witnessing a rise in bars and restaurants.",,
29,VILLA DEL PARQUE,"Villa del Parque's name was derived from its earliest beginnings, when several haciendas were all that existed, alongside a growing agricultural park in this section of Buenos Aires. Today, The square 'Aristóbulo del Valle', Cuenca street, and the railway station are the center of Villa del Parque. The Corso de Cuenca is a traditional event during Carneval, with the murga 'Los Pitucos de Villa del Parque' performing.",,
30,VILLA LUGANO,"Villa Lugano is characterized as having a large number of housing complexes grouped into geographical centers. Many of these housing complexes were created in the early 1970s as part of the largest public housing development built in Buenos Aires. The public housing was created in response to the Flores Wetlands which was the largest slum in Buenos Aires.",,
31,VILLA SANTA RITA,"Villa Santa Rita is a low-housing neighborhood with a legal maximum of eight floors and a terrace for buildings, although it should be noted that at the intersection of Cuenca and El Litoral streets there is a building approximately twenty stories high. The location of the Villa Santa Rita neighborhood is often ignored by the inhabitants of Buenos Aires and is commonly confused as part of the neighboring neighborhood of Villa del Parque or Floresta.",,
32,BARRACAS,"The yellow fever epidemic caused the wealthy residents of Barracas to flee to the northern areas of the city. Just as happened in neighboring San Telmo, the flight of wealthier families from Barracas turned it overnight into a working-class area and provided space for immigrants, particularly from Italy, to find homes there. It has remained a modest, working-class suburb ever since.","Working class, residential",
33,MONTE CASTRO,"Monte Castro s located in one of the highest zones in the city and is currently a middle-income neighborhood. A point of interest is the Monte Castro open-air shopping center which extends along Avenida Álvarez Jonte.",,
34,VILLA RIACHUELO,"Villa Riachuelo started with farms and slowly grew. Today there are low houses and even some skyscrapers that give another aspect to the place. One of the most notable places is the Autódromo Oscar and Juan Gálvez, a racing circuit, which was inaugurated in 1952.",,
35,RETIRO,This is also a hub for lovely restaurants and bars since many ex-pats adore this neighborhood.,,
36,MONTSERRAT,"As the financial district and the downtown of Buenos Aires, Microcentro is surrounded by historical architecture, famous landmarks, renowned hotels and restaurants. Look out for Florida Street, which is fantastic for pedestrians looking for shopping.",,
37,VILLA SOLDATI,"Villa Soldati is a very poor neighborhood and somewhat marginalized compared to the other Buenos Aires neighborhoods. In the beginning, immigrants who came to work on the railroad, built houses made of sheet metal and cardboard around the station. Since then, the houses are being replaced by brick, but the process is slow. One of the remaining sheet metal villages is Fátima, where nine hundred families live.",,
38,CONSTITUCION,"Today, Constitución remains a largely immigrant barrio and, with constant reports of squatting, drug wars and open prostitution, it is often classed as the most conflictive barrio in Buenos Aires. Chances are that you will not want to live here; however, you might be interested in passing through briefly one afternoon. If you do have a strong desire to live here then you are all but guaranteed to find cheap rental accommodation although you’ll need to have your wits about you at all times, more so at night when the undesirables come out to play.",,
39,BOEDO,Boedo is traditionally a working class barrio situated in the mid-east area of Buenos Aires Capital Federal. The barrio is known for its influence in tango culture and its cafes were important meeting places for writers and musicians.,,
40,PARQUE PATRICIOS," Today the barrio remains a predominately industrial area, with factories providing residents with jobs. Another attraction is Club Atlético Huracán, a century-old soccer club that competes in the second tier of the Argentine soccer league and plays at the Estadio Tomás A. Ducó. The stadium itself is crumbling but has a welcoming charm, especially for true soccer enthusiasts. Tickets are often easy to come by and can usually be purchased on match days. Conveniently, the 118 bus starts and finishes its route about two blocks from the stadium, providing an easy connection to and from Palermo.",,
41,SAN TELMO,"As one of the oldest neighborhoods in the city, San Telmo is full of cobbleston streets, tango performers on weekends especially at tango bars.",,
42,COGHLAN,"It is the name of a middle class neighbourhood located between Belgrano, Saavedra, Núñez and Villa Urquiza; it was originally inhabited by Irish and English immigrants.",,
43,SAN NICOLAS,"San Nicolas composes, together with its neighbor Monserrat, the area known unofficially as the Centro. Within the limits of San Nicolás is the Microcentro, which contains headquarters of important public institutions and the main financial institutions of Argentina.",,
44,RECOLETA,"An upscale district surrounding the busiest tourist attraction – Recoleta Cemetery. The institution you have to pay attention to here is alive and kicking: la gente-bien of Recoleta, some of them pretty conservative people from families best described as “old money”. The area is busy during office hours, and quieter at night time. If you are fond of tea houses, you can find English bakery all year long.",,
45,VILLA REAL,"Villa Real is a small neighborhood, characterized by its groves and low houses. Like the Villa Devoto neighborhood, old houses contrast beautiful skyscrapers and large gardens influence the building characteristics. Villa Real is not a very popular neighborhood, its inhabitants are of average economic level, but it has a special charm for its residents who feel proud to be part of this community and who fight every day to preserve their customs and traditions.",,
46,NUEVA POMPEYA,"Nueva Pompeya portrays a typical working class barrio and its residential zones are characterised by single storey terraced houses. It is also a barrio with a rich tango heritage, a characteristic that owes much to Homero Manzi who frequented the local bars and mentioned the barrio in his song ‘Mano Blanca’.","Gentrification, Working class",
47,PARQUE CHAS,"Parque Chas was the last of Buenos Aires's neighborhoods to be officially formed. A principle characteristic and one of Parque Chas's identifying features is the series of circular streets with the names of European cities that spread out from its historic center. This is especially notable because the streets of Buenos Aires are predominantly arranged as a grid pattern.",,
48,PUERTO MADERO,Abandoned warehouses transformed into upscale residential apartments and trendy hotspots. You can spend weekends riding on bikes and indulge in cafes by the river. Because it’s newly renovated.,,
