long,lat,fed_asoc,web,e_mail,telefono,calle,altura,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.4511821844434,-34.6128668826196,Federación Metropolitana de  Pelota,www.fmp.org.ar,secretaria@fmp.org.ar / presidencia@fmp.org.ar / tesoreria@fmp.org.ar / secretaria@fmp.org.ar,4431-1250, ESPINOSA,900,Caballito,Comuna 6,1405,C1405AMJ
-58.50671085948,-34.5939457103483,Federación Argentina de Voleibol de Sordos,www.favs.org.ar,favs.voleydesordos@gmail.com,0351-155745503, HABANA,3450,Villa Devoto,Comuna 11,1419,C1419GQB
-58.4835855470482,-34.5464165877141,Federación Argentina de Patinaje sobre Hielo,www.faph.org.ar,secretaria@faph.org,4748-6998, SUPERI,4577,Saavedra,Comuna 12,1430,C1430FGI
-58.4792824337753,-34.6531915422143,Asociación Civil Escuela Metropolitana Hockey Sobre Hielo,www.fahh.com.ar,informes@fahh.com.ar / hockeysobrehielo@fahh.com.ar,, PADRE MONTES CARBALLO,1578,Parque Avellaneda,Comuna 9,1407,C1407IXB
-58.3867854666497,-34.6113121983992,Federación Argentina de Triatlón,www.triatlon.org.ar,fn@triatlon.org.ar / arf@triatlon.org.ar / cs@triatlon.org.ar,4383 2742," ALSINA, ADOLFO",1450,Monserrat,Comuna 1,1088,C1088AAL
-58.3725544946634,-34.6223345949692,Federación Metropolitana de Gimnasia,www.fmg.com.ar,femegim@gmail.com,4361-7374/ fax: 4361-4395, BOLIVAR,1236,San Telmo,Comuna 1,1141,C1141AAB
-58.3889578122075,-34.6027945295684,Federación de Natación de Buenos Aires,www.feneba.org.ar,fenaba@yahoo.com.ar,4374-7337/ 4878-2101, LAVALLE,1567,San Nicolas,Comuna 1,1048,C1048AAK
-58.5104208707655,-34.633284619872,Asociación Softbol de Buenos Aires,www.asbasoftbol.com.ar,asbasoftbol@yahoo.com.ar / secretariaasba@hotmail.com,4642-6439, IRIGOYEN,716,Versalles,Comuna 10,1407,C1407CAR
-58.3731262496845,-34.6120391869952,Federación de Esgrima de la Ciudad de Buenos Aires,www.fecba.com.ar,secretaria@fecba.com.ar,4807-0285, BOLIVAR,358,Monserrat,Comuna 1,1066,C1066AAH
-58.3838974213414,-34.6043714538029,Federación Metropolitana de Judo,www.fmjudo.org.ar,fmjudo@fmjudo.org.ar,4382-9986, LIBERTAD,360,San Nicolas,Comuna 1,1012,C1012AAH
-58.3984538107897,-34.6058540132103,Federación Argentina de Centros Comunitarios Macabeos,www.faccma.org,secretar@faccma.org,4951-5734, SARMIENTO,2233,Balvanera,Comuna 3,1044,C1044AAI
-58.3842719019694,-34.6122934266405,Federación Argentina de Tiro con Arco,www.Federacióntiro.com.ar,informacion@Federacióntiro.com.ar / informacion@federaciontiro.com.ar,4381-8180, MORENO,1270,Monserrat,Comuna 1,1091,C1091AAZ
-58.3858999050532,-34.6129863767001,Asociación Amateur de Hockey sobre Cesped de Buenos Aires (A.A.H.B.A),,ahba@speedy.com.ar,4383-6055/4382-1870/4383-7784 (fax), SAN JOSE,364,Monserrat,Comuna 1,1076,C1076AAH
-58.4651201131391,-34.6412130137052,Federación Metropolitana de Bowling,www.fmb.com.ar,administracion@fmb.com.ar / info@fmb.com.ar,4983-4980," BUSTILLO, JOSE M., GRAL.",3279,Flores,Comuna 7,1406,C1406HJA
-58.3933012857734,-34.6214596771092,Federación Regional de Basquetbol de Capital Federal,www.basquetcapital.org.ar,secretaria@basquetcapital.org.ar / presidencia@basquetcapital.org.ar,4304-9944, HUMBERTO 1°,1913,San Cristobal,Comuna 3,1229,C1229AAC
-58.4841795727718,-34.6154973071847,Federación Argentina de Deportes para personas con Discapacidad Mental,,faddim@gmail.com / info@fadim.org.ar,4584-8665/9049," MAGARIÑOS CERVANTES, A.",3235,Villa Santa Rita,Comuna 11,1416,C1416DZM
